year,month,day,hour,minute,second,personCount,elderly
0,0,0,0,0,0,1,True
2022,3,30,14,9,35.422691,2,True
2022,3,30,14,9,57.74952,3,True
2022,3,30,14,12,39.50571,4,True
2022,3,30,14,14,39.307529,4,True
2022,3,30,14,15,8.757644,4,False
2022,3,31,13,51,9.111143,3,False
2022,3,31,13,51,12.233714,2,False
2022,3,31,13,51,14.818216,1,False
2022,3,31,13,53,19.747386,0,False
2022,3,31,13,53,21.987135,0,False
2022,3,31,13,53,25.376237,0,False
2022,3,31,14,46,56.225415,0,False
2022,3,31,14,46,57.265381,0,False
2022,3,31,14,47,2.591148,0,False
2022,3,31,14,47,3.609082,0,False
2022,3,31,14,47,5.431382,0,False
2022,3,31,14,47,14.912193,0,False
2022,3,31,14,47,21.978417,0,False
2022,3,31,14,47,50.493598,0,False
2022,3,31,14,47,57.683298,0,False
2022,3,31,15,10,57.788848,0,False
2022,3,31,15,10,58.832068,0,False
2022,3,31,15,11,0.834091,0,False
2022,3,31,15,13,19.356177,0,False
2022,3,31,15,13,20.85428,0,False
2022,3,31,15,13,23.463255,0,False
2022,3,31,15,16,57.820053,0,False
2022,3,31,15,17,17.814244,0,False
2022,3,31,15,17,18.85533,0,False
2022,3,31,15,18,44.313074,0,False
2022,3,31,15,18,47.131378,0,False
2022,3,31,15,18,49.66561,0,False
2022,3,31,15,18,50.689125,0,False
2022,3,31,15,18,52.780252,0,False
2022,3,31,15,18,53.81548,0,False
2022,3,31,15,18,55.414241,0,False
2022,3,31,15,21,23.86348,0,False
2022,3,31,15,22,0.90832,0,False
2022,3,31,15,22,7.035961,0,False
2022,3,31,15,26,43.808635,0,False
2022,3,31,15,26,44.851531,0,False
2022,3,31,15,26,46.634996,0,False
2022,3,31,15,26,59.053727,0,True
2022,3,31,15,26,59.105417,0,False
2022,3,31,15,27,9.004256,1,False
2022,3,31,15,27,9.03225,0,False
2022,3,31,15,27,9.054253,0,False
2022,3,31,15,27,18.95817,1,False
2022,3,31,15,27,19.000186,0,False
2022,3,31,15,27,29.358319,0,True
2022,3,31,15,27,29.407314,0,False
2022,3,31,15,27,39.280884,1,False
2022,3,31,15,27,39.315862,0,False
